Name,State,FIPS_State,FIPS_County,Population
New York,NY,36,36081,18832416
Los Angeles,CA,06,06037,11885717
Chicago,IL,17,17031,8489066
Miami,FL,12,12086,6113982
Houston,TX,48,48201,6046392
Dallas,TX,48,48113,5843632
Philadelphia,PA,42,42101,5696588
Atlanta,GA,13,13121,5211164
Washington,DC,11,11001,5146120
Boston,MA,25,25025,4355184
Phoenix,AZ,04,04013,4065338
Detroit,MI,26,26163,3716929
Seattle,WA,53,53033,3555253
San Francisco,CA,06,06075,3364862
San Diego,CA,06,06073,3057778
Minneapolis,MN,27,27053,2906807
Tampa,FL,12,12057,2906035
Brooklyn,NY,36,36047,2736074
Denver,CO,08,08031,2691349
Queens,NY,36,36081,2405464
Riverside,CA,06,06065,2288508
Las Vegas,NV,32,32003,2256509
Baltimore,MD,24,24510,2189589
St. Louis,MO,29,29510,2127843
Portland,OR,41,41051,2084045
San Antonio,TX,48,48029,2069843
Sacramento,CA,06,06067,1962998
Austin,TX,48,48453,1915031
Orlando,FL,12,12095,1913597
San Juan,PR,72,72127,1809800
San Jose,CA,06,06085,1771563
Indianapolis,IN,18,18097,1740984
Pittsburgh,PA,42,42003,1712828
Cincinnati,OH,39,39061,1704916
Manhattan,NY,36,36061,1694263
Kansas City,MO,29,29095,1686807
Cleveland,OH,39,39035,1679247
Columbus,OH,39,39049,1578153
Bronx,NY,36,36005,1472654
Charlotte,NC,37,37119,1436613
Virginia Beach,VA,51,51810,1431821
Jacksonville,FL,12,12031,1303156
Milwaukee,WI,55,55079,1290221
Providence,RI,44,44007,1270529
Nashville,TN,47,47037,1178679
Salt Lake City,UT,49,49035,1169033
Raleigh,NC,37,37183,1150010
Richmond,VA,51,51760,1081248
Memphis,TN,47,47157,1033394
Oklahoma City,OK,40,40109,1000207
Hartford,CT,09,09110,969171
Louisville,KY,21,21111,965005
Buffalo,NY,36,36029,949547
Fort Worth,TX,48,48439,941311
Bridgeport,CT,09,09120,921660
New Orleans,LA,22,22071,918752
Tucson,AZ,04,04019,879871
El Paso,TX,48,48141,862494
Omaha,NE,31,31055,826161
McAllen,TX,48,48215,810034
Birmingham,AL,01,01073,778756
Albuquerque,NM,35,35001,767499
Tulsa,OK,40,40143,740620
Charleston,SC,45,45019,726389
Fresno,CA,06,06019,724547
Rochester,NY,36,36055,694707
Dayton,OH,39,39113,667936
Cape Coral,FL,12,12071,656464
Provo,UT,49,49049,639820
Colorado Springs,CO,08,08041,638421
Mission Viejo,CA,06,06059,634674
Allentown,PA,42,42077,632175
Baton Rouge,LA,22,22033,630063
Ogden,UT,49,49057,623688
Knoxville,TN,47,47093,618226
Grand Rapids,MI,26,26081,611480
Columbia,SC,45,45079,605083
Albany,NY,36,36001,602242
Bakersfield,CA,06,06029,578542
New Haven,CT,09,09170,565056
Des Moines,IA,19,19153,560170
Palm Bay,FL,12,12009,547659
Akron,OH,39,39153,538659
Concord,CA,06,06013,525233
Mesa,AZ,04,04013,507478
Wichita,KS,20,20173,501760
Harrisburg,PA,42,42043,499494
Staten Island,NY,36,36085,495747
Toledo,OH,39,39095,492076
Worcester,MA,25,25027,487014
Port St. Lucie,FL,12,12111,473733
Little Rock,AR,05,05119,467846
Madison,WI,55,55025,460255
Spokane,WA,53,53063,458988
Long Beach,CA,06,06037,458491
Denton,TX,48,48121,455152
Reno,NV,32,32031,454814
Boise,ID,16,16001,449428
Bonita Springs,FL,12,12071,445500
Kissimmee,FL,12,12097,442790
Augusta,GA,13,13245,439361
Springfield,MA,25,25013,438889
Oakland,CA,06,06001,438072
Winston-Salem,NC,37,37067,434231
Stockton,CA,06,06077,416005
Durham,NC,37,37063,411362
Chattanooga,TN,47,47065,410795
Greenville,SC,45,45045,408626
Lancaster,PA,42,42071,408023
Syracuse,NY,36,36067,407625
Fayetteville,AR,05,05143,405556
Pensacola,FL,12,12033,401535
Arlington,TX,48,48439,394769
Aurora,CO,08,08005,390201
Scranton,PA,42,42069,375462
Oxnard,CA,06,06111,373423
Indio,CA,06,06065,371926
Victorville,CA,06,06071,363596
Trenton,NJ,34,34021,362501
Huntsville,AL,01,01089,359389
Modesto,CA,06,06099,355686
Honolulu,HI,15,15003,346323
Greensboro,NC,37,37081,345858
Fort Wayne,IN,18,18003,345279
Anaheim,CA,06,06059,344553
Corpus Christi,TX,48,48355,339432
Fort Collins,CO,08,08069,339256
Antioch,CA,06,06013,333347
Jackson,MS,28,28049,331332
Fayetteville,NC,37,37051,326821
Myrtle Beach,SC,45,45051,325829
Henderson,NV,32,32003,324523
Mobile,AL,01,01097,324067
Lexington,KY,21,21067,321122
Lansing,MI,26,26065,318001
Savannah,GA,13,13051,316446
Youngstown,OH,39,39099,315751
Ann Arbor,MI,26,26161,314647
Santa Ana,CA,06,06059,311639
Irvine,CA,06,06059,308160
St. Paul,MN,27,27123,307762
Poughkeepsie,NY,36,36027,307738
Newark,NJ,34,34013,307188
Santa Rosa,CA,06,06097,299986
Concord,NC,37,37025,297379
Winter Haven,FL,12,12105,296830
Asheville,NC,37,37021,295040
Canton,OH,39,39151,293657
Lincoln,NE,31,31109,293055
Flint,MI,26,26049,291688
Lakeland,FL,12,12105,290762
Jersey City,NJ,34,34017,289691
Anchorage,AK,02,02020,289069
Springfield,MO,29,29077,289041
Plano,TX,48,48085,287339
Lubbock,TX,48,48303,283024
Davenport,IA,19,19163,282356
Reading,PA,42,42011,280030
Shreveport,LA,22,22017,278269
Chandler,AZ,04,04013,278123
South Bend,IN,18,18141,275725
Wilmington,NC,37,37129,275128
Chula Vista,CA,06,06073,275030
Rockford,IL,17,17201,274256
Eugene,OR,41,41039,272737
Salem,OR,41,41047,272331
Gilbert,AZ,04,04013,271118
North Las Vegas,NV,32,32003,270773
Santa Clarita,CA,06,06037,265529
Peoria,IL,17,17143,262461
Tallahassee,FL,12,12073,261271
Killeen,TX,48,48027,261099
St. Petersburg,FL,12,12103,260646
Kennewick,WA,53,53005,260091
Columbus,GA,13,13215,257578
Laredo,TX,48,48479,255949
Irving,TX,48,48113,255036
Round Lake Beach,IL,17,17097,252224
Montgomery,AL,01,01101,251545
Chesapeake,VA,51,51550,251153
Glendale,AZ,04,04013,250193
Nashua,NH,33,33011,247828
York,PA,42,42133,246769
Garland,TX,48,48113,245298
Rock Hill,SC,45,45091,244403
Scottsdale,AZ,04,04013,242169
Aguadilla,PR,72,72005,235546
Arlington,VA,51,51013,235463
Norfolk,VA,51,51710,235037
Appleton,WI,55,55087,234701
Enterprise,NV,32,32003,232043
Gulfport,MS,28,28047,231754
Lafayette,LA,22,22055,231548
Bremerton,WA,53,53035,228576
Fremont,CA,06,06001,228518
Green Bay,WI,55,55009,227679
Fargo,ND,38,38017,225066
Deltona,FL,12,12127,224303
Brownsville,TX,48,48061,223416
Hialeah,FL,12,12086,221901
San Bernardino,CA,06,06071,221774
Tacoma,WA,53,53053,220482
Gainesville,FL,12,12001,219946
Spring Valley,NV,32,32003,219913
Clarksville,TN,47,47125,218159
College Station,TX,48,48041,215768
Olympia,WA,53,53067,215677
Roanoke,VA,51,51770,214019
Portland,ME,23,23005,213660
Fontana,CA,06,06071,211921
Spartanburg,SC,45,45083,210388
Moreno Valley,CA,06,06065,210378
Frisco,TX,48,48085,210238
Yonkers,NY,36,36119,209529
Thousand Oaks,CA,06,06111,208302
Sioux Falls,SD,46,46099,207795
Hagerstown,MD,24,24043,206889
Evansville,IN,18,18163,206418
Amarillo,TX,48,48375,205100
Kalamazoo,MI,26,26077,204408
Lorain,OH,39,39093,203802
Galveston,TX,48,48167,202810
McKinney,TX,48,48085,202314
Huntington,WV,54,54011,201208
Nampa,ID,16,16027,201129
Hickory,NC,37,37035,200500
Waterbury,CT,09,09140,199965
Sunrise Manor,NV,32,32003,199099
Grand Prairie,TX,48,48113,198564
Ocala,FL,12,12083,197770
Waco,TX,48,48309,197594
Overland Park,KS,20,20091,197199
Frederick,MD,24,24021,196743
Huntington Beach,CA,06,06059,196010
Santa Barbara,CA,06,06083,194950
Peoria,AZ,04,04013,194338
Cedar Rapids,IA,19,19113,192755
Vancouver,WA,53,53011,192696
Glendale,CA,06,06037,192270
Gastonia,NC,37,37071,189767
Spring Hill,FL,12,12053,188743
Murfreesboro,TN,47,47149,187601
Tempe,AZ,04,04013,186419
Paradise,NV,32,32003,186178
Newport News,VA,51,51700,184774
Erie,PA,42,42049,184332
Fort Lauderdale,FL,12,12011,183032
Gainesville,GA,13,13139,182116
Aurora,IL,17,17089,179867
Mauldin,SC,45,45045,179196
Ontario,CA,06,06071,178347
Elk Grove,CA,06,06067,177221
Panama City,FL,12,12005,177125
Cary,NC,37,37183,176686
Hemet,CA,06,06065,176009
Danbury,CT,09,09190,175074
Rancho Cucamonga,CA,06,06071,174693
Salinas,CA,06,06053,172995
Oceanside,CA,06,06073,172542
Vallejo,CA,06,06095,171414
High Point,NC,37,37081,171342
Garden Grove,CA,06,06059,170603
Pembroke Pines,FL,12,12011,170557
Lancaster,CA,06,06037,170013
Marysville,WA,53,53061,168664
Bayamón,PR,72,72021,167312
Fredericksburg,VA,51,51630,166746
Visalia,CA,06,06107,166273
Tuscaloosa,AL,01,01125,166253
Palmdale,CA,06,06037,165487
Santa Cruz,CA,06,06087,165263
Medford,OR,41,41029,164628
Norwich,CT,09,09180,163299
Merced,CA,06,06047,163257
Manchester,NH,33,33011,162716
Odessa,TX,48,48135,162648
Muskegon,MI,26,26121,162458
Leesburg,FL,12,12069,161515
Lafayette,IN,18,18157,160373
Hayward,CA,06,06001,159201
Corona,CA,06,06065,158839
Paterson,NJ,34,34031,157660
Alexandria,VA,51,51510,156788
Macon,GA,13,13021,156543
Lakewood,CO,08,08059,156309
Springfield,IL,17,17167,156240
Kansas City,KS,20,20209,154776
Burlington,NC,37,37001,154504
Warner Robins,GA,13,13153,154327
Sunnyvale,CA,06,06085,153455
Hollywood,FL,12,12011,152935
Roseville,CA,06,06061,152438
New Bedford,MA,25,25005,152104
South Lyon,MI,26,26125,151231
Bellevue,WA,53,53033,151199
Fairfield,CA,06,06095,150794
Binghamton,NY,36,36007,150564
Topeka,KS,20,20177,150343
Escondido,CA,06,06073,149913
Joliet,IL,17,17197,149785
Surprise,AZ,04,04013,149519
Naperville,IL,17,17043,149424
Pasadena,TX,48,48201,149345
Mesquite,TX,48,48113,148848
Champaign,IL,17,17019,148477
Pomona,CA,06,06037,148391
Houma,LA,22,22109,147841
Athens,GA,13,13059,147368
St. George,UT,49,49053,147347
Beaumont,TX,48,48245,146554
Elkhart,IN,18,18039,146511
Lake Charles,LA,22,22019,145110
Santa Maria,CA,06,06083,144857
Yuma,AZ,04,04027,144509
Olathe,KS,20,20091,143720
Midland,TX,48,48329,143714
Greeley,CO,08,08123,143554
Torrance,CA,06,06037,143499
Thornton,CO,08,08001,142878
Las Cruces,NM,35,35013,142432
Columbia,MO,29,29019,141811
Fullerton,CA,06,06059,141278
Grand Junction,CO,08,08077,141008
Carolina,PR,72,72031,139051
Metairie,LA,22,22051,138995
Orange,CA,06,06059,138723
Warren,MI,26,26099,138128
West Valley City,UT,49,49035,137955
Hampton,VA,51,51650,137334
Pasadena,CA,06,06037,136462
Miramar,FL,12,12011,135986
Elizabeth,NJ,34,34039,135887
Stamford,CT,09,09190,135806
Racine,WI,55,55101,135512
Kent,WA,53,53033,135015
Yakima,WA,53,53077,134003
Coral Springs,FL,12,12011,133962
Sterling Heights,MI,26,26099,133473
Billings,MT,30,30111,133173
Bloomington,IL,17,17113,133107
Charleston,WV,54,54039,133045
Carrollton,TX,48,48113,132741
Tyler,TX,48,48423,131037
Iowa City,IA,19,19103,129897
Johnson City,TN,47,47179,129818
Santa Clara,CA,06,06085,129239
Bellingham,WA,53,53073,128737
Norman,OK,40,40027,128714
Coeur d'Alene,ID,16,16055,128680
